
Host: TUF

Timers On : Mon Jul  7 09:47:27 2025
Timers Off: Mon Jul  7 09:47:33 2025

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: D                               :      0.000u      0.000s      0.000w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     33 calls
JK: JK                              :      0.000u      0.000s      0.003w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.300u      0.033s      0.168w     29 calls
HF: Form C                          :      0.000u      0.000s      0.013w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.267u      0.017s      0.184w      4 calls
| build grid                        :      0.183u      0.000s      0.117w      4 calls
| post-process grid                 :      0.083u      0.017s      0.067w      4 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.017w      4 calls
DFH: initialize()                   :      0.067u      0.017s      0.062w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.012w      8 calls
| DFH: AO Construction              :      0.033u      0.000s      0.009w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.183u      0.033s      0.125w      4 calls
| SAD Guess                         :      0.150u      0.033s      0.118w      4 calls
HF: Form G                          :      3.500u      0.117s      2.188w     33 calls
| RV: Form V                        :      3.483u      0.117s      2.174w     33 calls
| | Properties                      :      0.567u      0.017s      0.375w  18282 calls
| | Functional                      :      2.217u      0.067s      1.299w  18282 calls
| | V_xc                            :      0.600u      0.033s      0.446w  18282 calls
| JK: D                             :      0.000u      0.000s      0.000w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     33 calls
| JK: JK                            :      0.000u      0.000s      0.003w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.300u      0.033s      0.168w     29 calls
HF: Form C                          :      0.000u      0.000s      0.013w     29 calls

**************************************************************************************

Host: TUF

Timers On : Tue Jul  8 14:20:25 2025
Timers Off: Tue Jul  8 14:20:33 2025

Wall Time:        7.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.283u      0.033s      0.183w      2 calls
build grid                          :      0.183u      0.017s      0.109w      2 calls
post-process grid                   :      0.100u      0.017s      0.073w      2 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.053w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.050s      0.060w      6 calls
DFH: initialize()                   :      0.100u      0.017s      0.081w      2 calls
DFH: AO Construction                :      0.017u      0.000s      0.016w      2 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.183u      0.033s      0.146w      2 calls
SAD Guess                           :      0.183u      0.033s      0.140w      2 calls
HF: Form G                          :      3.250u      0.167s      2.058w     17 calls
RV: Form V                          :      3.250u      0.167s      2.042w     17 calls
Properties                          :      0.683u      0.050s      0.444w   9418 calls
Functional                          :      1.483u      0.067s      1.004w   9418 calls
V_xc                                :      0.933u      0.033s      0.525w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.004w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     17 calls
HF: Form F                          :      0.000u      0.000s      0.001w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.450u      0.083s      0.359w     15 calls
HF: Form C                          :      0.033u      0.000s      0.016w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.283u      0.033s      0.183w      2 calls
| build grid                        :      0.183u      0.017s      0.109w      2 calls
| post-process grid                 :      0.100u      0.017s      0.073w      2 calls
DFH: sparsity prep                  :      0.033u      0.033s      0.053w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.033s      0.042w      2 calls
DFH: initialize()                   :      0.100u      0.017s      0.081w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.018w      4 calls
| DFH: AO Construction              :      0.017u      0.000s      0.016w      2 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.183u      0.033s      0.146w      2 calls
| SAD Guess                         :      0.183u      0.033s      0.140w      2 calls
HF: Form G                          :      3.250u      0.167s      2.058w     17 calls
| RV: Form V                        :      3.250u      0.167s      2.042w     17 calls
| | Properties                      :      0.683u      0.050s      0.444w   9418 calls
| | Functional                      :      1.483u      0.067s      1.004w   9418 calls
| | V_xc                            :      0.933u      0.033s      0.525w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.004w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     17 calls
HF: Form F                          :      0.000u      0.000s      0.001w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.450u      0.083s      0.359w     15 calls
HF: Form C                          :      0.033u      0.000s      0.016w     15 calls

**************************************************************************************

Host: TUF

Timers On : Tue Jul  8 14:35:39 2025
Timers Off: Tue Jul  8 14:35:51 2025

Wall Time:       12.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.617u      0.033s      0.393w      4 calls
build grid                          :      0.367u      0.017s      0.235w      4 calls
post-process grid                   :      0.250u      0.017s      0.157w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.060w      4 calls
Libint2ERI::Libint2ERI              :      0.067u      0.033s      0.069w     12 calls
DFH: initialize()                   :      0.167u      0.033s      0.130w      4 calls
DFH: AO Construction                :      0.017u      0.017s      0.025w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      4 calls
HF: Guess                           :      0.467u      0.050s      0.308w      4 calls
SAD Guess                           :      0.433u      0.050s      0.293w      4 calls
HF: Form G                          :      7.933u      0.400s      5.050w     33 calls
RV: Form V                          :      7.900u      0.400s      5.016w     33 calls
Properties                          :      1.767u      0.067s      0.948w  18282 calls
Functional                          :      4.100u      0.200s      2.778w  18282 calls
V_xc                                :      1.783u      0.100s      1.149w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     33 calls
JK: JK                              :      0.000u      0.000s      0.007w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.006w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.005w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.633u      0.050s      0.454w     29 calls
HF: Form C                          :      0.050u      0.000s      0.033w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.617u      0.033s      0.393w      4 calls
| build grid                        :      0.367u      0.017s      0.235w      4 calls
| post-process grid                 :      0.250u      0.017s      0.157w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.060w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.040w      4 calls
DFH: initialize()                   :      0.167u      0.033s      0.130w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.029w      8 calls
| DFH: AO Construction              :      0.017u      0.017s      0.025w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      4 calls
HF: Guess                           :      0.467u      0.050s      0.308w      4 calls
| SAD Guess                         :      0.433u      0.050s      0.293w      4 calls
HF: Form G                          :      7.933u      0.400s      5.050w     33 calls
| RV: Form V                        :      7.900u      0.400s      5.016w     33 calls
| | Properties                      :      1.767u      0.067s      0.948w  18282 calls
| | Functional                      :      4.100u      0.200s      2.778w  18282 calls
| | V_xc                            :      1.783u      0.100s      1.149w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w     33 calls
| JK: JK                            :      0.000u      0.000s      0.007w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.006w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.005w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.633u      0.050s      0.454w     29 calls
HF: Form C                          :      0.050u      0.000s      0.033w     29 calls

**************************************************************************************
